Date,Pptn,PET,cum_effective_storage_mm,cum_res_cat_area_km2,streamflow_mm
1994-01-01,8.62,0.08,112.147421771706,29.751446,5.64
1994-01-02,2.19,0.0,112.147421771706,29.751446,5.31
1994-01-03,16.76,0.03,112.147421771706,29.751446,5.78
1994-01-04,2.3,0.02,112.147421771706,29.751446,6.31
1994-01-05,12.59,0.0,112.147421771706,29.751446,6.16
1994-01-06,1.31,0.07,112.147421771706,29.751446,6.14
1994-01-07,0.04,0.02,112.147421771706,29.751446,5.59
1994-01-08,3.86,0.2,112.147421771706,29.751446,4.95
1994-01-09,9.42,0.1,112.147421771706,29.751446,4.66
1994-01-10,0.47,0.16,112.147421771706,29.751446,5.09
1994-01-11,14.2,0.1,112.147421771706,29.751446,5.02
1994-01-12,10.47,0.14,112.147421771706,29.751446,5.57
1994-01-13,7.46,0.74,112.147421771706,29.751446,6.16
1994-01-14,0.63,0.47,112.147421771706,29.751446,6.09
1994-01-15,0.02,0.07,112.147421771706,29.751446,5.66
1994-01-16,0.0,0.17,112.147421771706,29.751446,5.02
1994-01-17,2.47,0.53,112.147421771706,29.751446,4.38
1994-01-18,27.26,0.0,112.147421771706,29.751446,4.81
1994-01-19,4.95,0.57,112.147421771706,29.751446,5.93
1994-01-20,1.58,0.01,112.147421771706,29.751446,5.97
1994-01-21,2.05,0.5,112.147421771706,29.751446,5.71
1994-01-22,21.13,0.74,112.147421771706,29.751446,5.4
1994-01-23,0.35,0.72,112.147421771706,29.751446,6.12
1994-01-24,18.88,0.51,112.147421771706,29.751446,6.14
1994-01-25,14.44,0.47,112.147421771706,29.751446,7.47
1994-01-26,23.76,1.29,112.147421771706,29.751446,8.42
1994-01-27,9.08,0.95,112.147421771706,29.751446,10.04
1994-01-28,2.93,0.96,112.147421771706,29.751446,9.9
1994-01-29,9.23,0.0,112.147421771706,29.751446,8.97
1994-01-30,3.14,0.89,112.147421771706,29.751446,8.35
1994-01-31,27.59,0.57,112.147421771706,29.751446,7.52
1994-02-01,26.18,0.28,112.147421771706,29.751446,11.28
1994-02-02,0.06,0.34,112.147421771706,29.751446,13.07
1994-02-03,8.41,0.92,112.147421771706,29.751446,11.64
1994-02-04,0.28,0.36,112.147421771706,29.751446,9.97
1994-02-05,6.57,0.35,112.147421771706,29.751446,8.23
1994-02-06,5.09,0.32,112.147421771706,29.751446,7.04
1994-02-07,2.69,0.21,112.147421771706,29.751446,6.07
1994-02-08,15.89,0.4,112.147421771706,29.751446,5.64
1994-02-09,0.81,0.84,112.147421771706,29.751446,5.78
1994-02-10,0.31,0.26,112.147421771706,29.751446,5.4
1994-02-11,0.05,0.33,112.147421771706,29.751446,4.88
1994-02-12,0.0,0.78,112.147421771706,29.751446,4.12
1994-02-13,0.0,0.67,112.147421771706,29.751446,3.55
1994-02-14,0.0,0.66,112.147421771706,29.751446,3.17
1994-02-15,0.45,0.32,112.147421771706,29.751446,2.64
1994-02-16,0.12,0.13,112.147421771706,29.751446,2.35
1994-02-17,0.02,0.19,112.147421771706,29.751446,2.21
1994-02-18,0.0,0.07,112.147421771706,29.751446,1.96
1994-02-19,0.0,0.58,112.147421771706,29.751446,1.76
1994-02-20,0.0,0.56,112.147421771706,29.751446,1.54
1994-02-21,0.29,0.29,112.147421771706,29.751446,1.41
1994-02-22,0.26,0.35,112.147421771706,29.751446,1.35
1994-02-23,1.23,0.2,112.147421771706,29.751446,1.24
1994-02-24,0.48,0.35,112.147421771706,29.751446,1.06
1994-02-25,18.1,0.51,112.147421771706,29.751446,1.2
1994-02-26,7.88,0.04,112.147421771706,29.751446,1.42
1994-02-27,20.71,0.26,112.147421771706,29.751446,2.45
1994-02-28,2.44,0.3,112.147421771706,29.751446,3.78
1994-03-01,2.55,0.4,112.147421771706,29.751446,4.14
1994-03-02,17.34,0.72,112.147421771706,29.751446,4.07
1994-03-03,3.57,0.73,112.147421771706,29.751446,4.95
1994-03-04,25.08,1.19,112.147421771706,29.751446,5.64
1994-03-05,5.39,0.79,112.147421771706,29.751446,7.85
1994-03-06,18.95,1.07,112.147421771706,29.751446,8.76
1994-03-07,15.16,0.97,112.147421771706,29.751446,10.23
