,Station,Dropout_rate,Kernel_size,Number_of_filters,NSE_val,PBIAS_val,RMSE_val,VE_val,MARE_val,MAE_val,CORR_val,KGE_val,flow_obs_zero,flow_pred_zero,flow_obs_non_zero,flow_pred_non_zero,flow_both_zero,flow_obs_zero_pred_non_zero,flow_both_non_zero,flow_obs_non_zero_pred_zero,prct_true,prct_false,obs_rc_val,pred_rc_val,Model
0,Kotni,0.3,10,2,0.716279865229739,-28.0565489001029,0.82113570899915,0.719434510998971,,224.004724516254,0.850443635367204,0.658707897323178,711,374,1116,1453,192,519,934,182,27.0042194092827,72.9957805907173,0.139590564392063,0.178754859350652,Hybrid
1,Ghatora,0.1,10,32,0.550050427340707,8.3608207169721,1.58125998949378,0.916391792830279,3661.03423049965,135.872307698653,0.747119448574787,0.570150477128262,0,576,1827,1251,0,0,1251,576,,,0.261308074997536,0.239460575328021,Hybrid
2,Baronda,0.1,5,32,0.451229643689648,-14.9297322809969,2.56899497438633,0.850702677190031,,146.932912832602,0.680727935359296,0.58897640437127,183,938,1644,889,175,8,881,763,95.6284153005464,4.37158469945355,0.198078617632223,0.227651224950613,Hybrid
3,Bamnidhi,0.1,20,32,0.493615593436775,36.2237898428835,2.33973876589167,0.637762101571165,1037.01870233808,998.43787324446,0.759697606806324,0.354883997685779,0,99,1826,1727,0,0,1727,99,,,0.409371818829074,0.26108183150044,Hybrid
4,Sundergarh,0.1,20,32,0.600283955718769,17.9192087176496,3.8273560595988,0.820807912823504,,612.001675613782,0.802749759594553,0.519451836258457,38,356,1789,1471,27,11,1460,329,71.0526315789474,28.9473684210526,0.493886280458016,0.405385767034908,Hybrid
5,Salebhata,0.1,5,32,0.611648414153896,-4.33524011973816,1.62833322899596,0.956647598802618,,52.9755389260551,0.784056026746383,0.726926146174547,29,1265,1798,562,29,0,562,1236,100,0,0.224377306307286,0.234104601309907,Hybrid
6,TKHalli,0.1,20,32,0.56919678753749,5.47070987610397,0.287651944946387,0.94529290123896,,20.9881598824861,0.755816661827491,0.675170409881418,606,91,1220,1735,51,555,1180,40,8.41584158415842,91.5841584158416,0.10074174945306,0.095230460616372,Hybrid
7,Mohgaon,0.2,5,32,0.40526843816901,5.10303519254337,6.6990544930195,0.948969648074566,4019.60015065516,185.281712950944,0.636792428629305,0.476743803091822,0,569,1826,1257,0,0,1257,569,,,0.559143732859904,0.530610431395163,Hybrid
8,Manot,0.1,20,32,0.676645334968385,10.0529148226471,3.54991203877994,0.899470851773529,2424.3850346123,378.341226150368,0.824514008263772,0.700389669520974,0,724,1826,1102,0,0,1102,724,,,0.586552133831389,0.527586547426901,Hybrid
9,Chhidgaon,0.5,5,4,0.414131352991756,-5.47692875165285,3.96529313147053,0.945230712483471,5862.52825370526,112.883201449574,0.643708424853604,0.499664568854796,0,298,1826,1528,0,0,1528,298,,,0.372981997014401,0.393409955247372,Hybrid
10,Belkhedi,0.1,5,8,0.283883728236641,1.55475339272479,7.92829944022579,0.984452466072752,,41.9217961541118,0.533035657280484,0.328452157621804,7,629,1819,1197,7,0,1197,622,100,0,0.467743106657398,0.460470854837405,Hybrid
11,Patan,0.3,10,32,0.83210252696246,3.36547726792588,1.17859515399564,0.966345227320741,,60.114321418196,0.912292445448232,0.866856486629118,53,68,1774,1759,1,52,1707,67,1.88679245283019,98.1132075471698,0.316796459136413,0.306134746318582,Hybrid
12,Murappanadu,0.1,20,32,0.498947752306744,30.8390159710744,0.726937173809249,0.691609840289256,inf,158.671059606026,0.756154003362664,0.363873759667845,3,89,1823,1737,0,3,1734,89,0,100,0.180475767924826,0.124818817030569,Hybrid
13,Tilga,0.3,20,4,0.694583774870474,16.5116979007506,1.65341083366634,0.834883020992494,,472.823983139613,0.839923184155344,0.682876602524183,173,228,1653,1598,111,62,1536,117,64.1618497109827,35.8381502890173,0.480167764144171,0.400883913511897,Hybrid
14,Savandapur,0.5,10,2,0.100549483751952,-2.34431068422869,0.333228788493237,0.976556893157713,inf,9.25053353727854,0.338462885251453,0.143152644516553,17,0,1809,1826,0,17,1809,0,0,100,0.107150231209437,0.109662165527856,Hybrid
15,Adityapur,0.3,5,4,0.78255432938725,-27.6243356423947,2.1915990296157,0.723756643576053,3798.18622468015,665.103965836326,0.892436003623068,0.702961354425223,0,597,1827,1230,0,0,1230,597,,,0.31019579916618,0.395885327876454,Hybrid
16,Arangali,0.4,20,2,0.188873065200689,37.9049852068324,4.8567704174847,0.620950147931676,inf,2374.81411032001,0.521630166570742,0.118027850618698,417,0,1409,1826,0,417,1409,0,0,100,0.558247802618211,0.346644055618311,Hybrid
17,Anandpur,0.4,5,4,0.763933816122656,-2.04694890584347,1.97598117393361,0.979530510941565,1854.17110445154,64.6088955176891,0.874094106152987,0.81681547224436,0,55,1826,1771,0,0,1771,55,,,0.378226897552597,0.385969008893656,Hybrid
18,MHHalli,0.5,5,2,-0.40455235450023,-142.793098174324,1.45881893822811,-0.427930981743243,11083.1375330032,1128.53445621625,0.053190877421643,-0.800266788129628,0,5,1826,1821,0,0,1821,5,,,0.146572680289941,0.355868351553096,Hybrid
19,Ambarampalayam,0.5,5,2,0.099622445505236,23.3326518461752,0.881784289248044,0.766673481538248,inf,373.085374451495,0.410467115905244,0.224654413348498,17,2,1809,1824,0,17,1807,2,0,100,0.413742134469704,0.317205122692954,Hybrid
20,Kudige,0.3,5,2,0.329151017105601,6.66187621227096,5.59001106579484,0.93338123787729,inf,397.602497250434,0.576871652385304,0.43265976276089,1,14,1825,1812,0,1,1811,14,0,100,0.745900758000925,0.696209772836512,Hybrid
21,PaleruBridge,0.2,5,32,0.644175218838661,36.7058738058371,0.637890299315365,0.632941261941629,1759.72991086476,347.247587530657,0.822134237362156,0.559615404578902,0,63,1827,1764,0,0,1764,63,,,0.213498531241229,0.135132029786508,Hybrid
22,Jewangi,0.1,10,2,0.521207139967856,13.7494723003895,1.58190758450097,0.862505276996105,,115.658936904715,0.725547393276154,0.54109392996138,315,910,1512,917,154,161,756,756,48.8888888888889,51.1111111111111,0.202212319645978,0.174409192768279,Hybrid
23,GokakFalls,0.2,10,2,0.464564549654846,-17.8806848851795,4.29696770138207,0.821193151148205,,394.563470765795,0.682686361786659,0.509025638586163,1030,108,796,1718,80,950,768,28,7.76699029126214,92.2330097087379,0.330425739618401,0.389508124899092,Hybrid
24,Mahuwa,0.4,10,4,0.608032014704029,-1.87338809404571,3.59860006059912,0.981266119059543,3441.69211219194,55.2760724844105,0.779993391893143,0.700844744323837,0,672,1827,1155,0,0,1155,672,,,0.437801192948646,0.446002908372936,Hybrid
25,Kotni,0.3,10,2,0.748236558449546,-26.5545528622923,0.773510464456877,0.734454471377077,,212.012721869306,0.86872370153703,0.686254255183705,711,240,1116,1587,118,593,994,122,16.5963431786217,83.4036568213783,0.139590564392063,0.176658214604326,Hybrid-MI
26,Baronda,0.1,5,32,0.545711818345639,-1.61591913739632,2.33740329719431,0.983840808626037,,15.9032795291178,0.739572631376035,0.605579856452894,183,421,1644,1406,43,140,1266,378,23.4972677595628,76.5027322404372,0.198078617632223,0.201279407921632,Hybrid-MI
27,TKHalli,0.2,20,32,0.519268848096503,10.4619797376464,0.303863811554915,0.895380202623536,,40.1369673029396,0.72276375818308,0.577052550251218,606,111,1220,1715,59,547,1168,52,9.73597359735974,90.2640264026403,0.10074174945306,0.090202168037931,Hybrid-MI
28,Arangali,0.4,15,2,0.189100580555629,37.1166565749656,4.85608922487827,0.628833434250344,inf,2325.42393252913,0.521996754073278,0.116142798371907,417,0,1409,1826,0,417,1409,0,0,100,0.558247802618211,0.351044882883117,Hybrid-MI
29,Jewangi,0.1,10,2,0.545764154556368,14.6900801895925,1.54080605732415,0.853099198104075,,123.57121936419,0.747201756931014,0.535580273349016,315,758,1512,1069,130,185,884,628,41.2698412698413,58.7301587301587,0.202212319645978,0.172507167736749,Hybrid-MI
30,GokakFalls,0.2,5,16,0.526642365459499,-27.0602570563834,4.04020332206117,0.729397429436166,,597.124160094723,0.733575721657032,0.581942090532244,1030,737,796,1089,525,505,584,212,50.9708737864078,49.0291262135922,0.330425739618401,0.419839794139597,Hybrid-MI
31,Ghatora,0.1,10,32,0.55213125094481,10.2201061454997,1.57759942816079,0.897798938545003,3138.2061933709,166.087690900412,0.74897344353064,0.567752860459573,0,643,1827,1184,0,0,1184,643,,,0.261308074997536,0.234602112366026,Hybrid-MP
32,Bamnidhi,0.1,10,32,0.434139298261829,41.1938358281279,2.47332949041668,0.588061641718721,1042.9127001333,1135.4274639239,0.75615598992829,0.260991300556891,0,105,1826,1721,0,0,1721,105,,,0.409371818829074,0.240735863854004,Hybrid-MP
33,Murappanadu,0.1,10,16,0.493050105118247,35.5031288390322,0.731202873645135,0.644968711609678,inf,182.668574039532,0.76387103748833,0.327025483007407,3,133,1823,1693,0,3,1690,133,0,100,0.180475767924826,0.116401223515242,Hybrid-MP
34,Savandapur,0.5,10,2,0.110076236561751,-4.17301058049451,0.331459353063692,0.958269894195055,inf,16.4664925114153,0.337385858815408,0.100426060594567,17,0,1809,1826,0,17,1809,0,0,100,0.107150231209437,0.111621621694832,Hybrid-MP
35,Adityapur,0.3,5,4,0.783106697937422,-27.8887776590582,2.18881364385923,0.721112223409418,3757.15295987385,671.470867697551,0.892564479832823,0.700388510113842,0,601,1827,1226,0,0,1226,601,,,0.31019579916618,0.396705615903375,Hybrid-MP
36,MHHalli,0.5,5,2,-0.405663638903512,-138.048701414745,1.45939593423261,-0.380487014147453,10405.842049204,1091.03813961831,0.062172182658755,-0.748285707293285,0,1,1826,1825,0,0,1825,1,,,0.146572680289941,0.348914362058992,Hybrid-MP
37,Ambarampalayam,0.5,5,2,0.037559665017421,32.3460541099935,0.911668469055065,0.676539458900065,inf,517.208236303988,0.399132472580307,0.192871176162656,17,6,1809,1820,0,17,1803,6,0,100,0.413742134469704,0.279912879778291,Hybrid-MP
38,Kudige,0.4,15,2,0.330030868841419,-8.16384151209912,5.58634407456542,0.918361584879009,inf,487.24468437111,0.579238959044943,0.441646701030999,1,0,1825,1826,0,1,1825,0,0,100,0.745900758000925,0.806794913721667,Hybrid-MP
39,PaleruBridge,0.2,5,16,0.654981721649243,35.4328694375886,0.628129158122354,0.645671305624114,2072.23507083196,335.204618655197,0.827690217303736,0.55910539601707,0,308,1827,1519,0,0,1519,308,,,0.213498531241229,0.137849875415355,Hybrid-MP
40,Salebhata,0.1,5,32,0.607566457457995,-5.02142589841549,1.63686854995381,0.949785741015845,,61.3605557705251,0.783019826692579,0.735017869734879,29,1308,1798,519,28,1,518,1280,96.551724137931,3.44827586206897,0.224377306307286,0.235644246476367,Hybrid-UI
41,Tilga,0.3,20,4,0.694507255898522,16.5311502307604,1.65361794344535,0.834688497692397,,473.381014173724,0.83989716938101,0.682654805231777,173,234,1653,1592,112,61,1531,122,64.7398843930636,35.2601156069364,0.480167764144171,0.400790509693815,Hybrid-UI
