,Station,Dropout_rate,Kernel_size,Number_of_filters,NSE_val,PBIAS_val,RMSE_val,VE_val,MARE_val,MAE_val,CORR_val,KGE_val,flow_obs_zero,flow_pred_zero,flow_obs_non_zero,flow_pred_non_zero,flow_both_zero,flow_obs_zero_pred_non_zero,flow_both_non_zero,flow_obs_non_zero_pred_zero,prct_true,prct_false,obs_rc_val,pred_rc_val,Model
0,1159673,0.4,5,4,0.585776138057423,-3.0728240515352,0.728031790586519,0.969271759484648,inf,29.7382315901384,0.765621877725205,0.657183078874887,924,0,902,1826,0,924,902,0,0,100,0.1981957863496,0.20428599414168,Hybrid
1,1160527,0.5,15,2,0.167725988157738,-1.91459215183412,0.112800330377849,0.980854078481659,3019.93797670859,1.59155778776604,0.416356924043011,0.225372903914977,0,82,1826,1744,0,0,1744,82,,,0.023160562402686,0.023603992712768,Hybrid
2,1160530,0.5,5,2,-0.298950466879023,-189.89172677942,0.051425637177527,-0.898917267794196,,23.1187136629532,0.253901190032458,-1.05127382905325,1158,741,668,1085,608,550,535,133,52.5043177892919,47.4956822107081,0.004288798524918,0.012432872101975,Hybrid
3,1159305,0.4,10,2,0.144277841034387,16.4805821146853,0.013449489820858,0.835194178853147,,0.848136421149493,0.382030989349847,0.128168874221903,725,1222,1101,604,625,100,504,597,86.2068965517241,13.7931034482759,0.002550641480481,0.002130280916839,Hybrid
4,1159811,0.1,10,32,0.289742518649664,19.8255423676642,0.425729129696467,0.801744576323358,inf,232.582049014396,0.663784261090389,0.257472942452802,29,0,1797,1826,0,29,1797,0,0,100,0.273502995472168,0.219279543228003,Hybrid
5,1160709,0.4,20,32,0.567837214669678,1.76876151731237,0.353697463848538,0.982312384826876,1657.94133312046,13.8532085111068,0.757080503049887,0.602153771296407,0,0,1826,1826,0,0,1826,0,,,0.136291981586238,0.133881301464758,Hybrid
6,1196445,0.1,5,16,0.258213326790924,43.9300070742444,0.658294059184921,0.560699929257556,771.479618669185,471.352917626424,0.655484233138967,0.192029928419657,0,0,1826,1826,0,0,1826,0,,,0.330184161456007,0.185134235970349,Hybrid
7,1160723,0.4,15,4,0.334901701762094,-35.8174946377068,0.472280653424567,0.641825053622932,1412.40204226939,372.446786900184,0.677765963297628,0.408876366602979,0,0,1826,1826,0,0,1826,0,,,0.185227195865156,0.251570936811732,Hybrid
8,1159815,0.2,5,32,0.068215038570107,77.4223270363204,1.2815026738987,0.225776729636796,,1085.12183755563,0.740743772930916,-0.135074413191771,174,555,1652,1271,134,40,1231,421,77.0114942528736,22.9885057471264,0.301391124845799,0.06804710250924,Hybrid
9,1160304,0.5,10,4,0.60261645408973,13.9162619644432,0.779665570000098,0.860837380355568,1195.99904256943,155.845663385151,0.779803158264441,0.641075544848645,0,3,1826,1823,0,0,1823,3,,,0.409844288070221,0.352809283296062,Hybrid
10,1160537,0.2,5,16,0.49271787398639,31.6569447484662,0.086277713885103,0.683430552515338,,23.5429367152473,0.711165456416564,0.459015343252081,729,1134,1097,692,657,72,620,477,90.1234567901235,9.87654320987654,0.018097514128545,0.012368394080026,Hybrid
11,1159815,0.1,10,32,0.053120685907376,77.2671439780485,1.2918407584341,0.227328560219515,,1082.9468509362,0.674098414402931,-0.141889659568771,174,75,1652,1751,44,130,1621,31,25.2873563218391,74.7126436781609,0.301391124845799,0.068514810474136,Hybrid-MI
12,1160537,0.2,5,2,0.369220953474503,-22.6530304238777,0.096208286106814,0.773469695761223,,16.8468203711846,0.624676072891518,0.494323081098613,729,65,1097,1761,8,721,1040,57,1.09739368998628,98.9026063100137,0.018097514128545,0.02219714951005,Hybrid-MI
13,1196445,0.1,5,16,0.251436447231972,43.7447271645269,0.661294272578684,0.562552728354731,741.973740950025,469.364931922819,0.662862129289976,0.176587050688972,0,0,1826,1826,0,0,1826,0,,,0.330184161456007,0.185746000886596,Hybrid-MP
14,1160723,0.4,15,4,0.335154663808854,-35.9239669565828,0.472190831782513,0.640760330434172,1417.65609002131,373.553935053909,0.678506302542733,0.408884698618395,0,0,1826,1826,0,0,1826,0,,,0.185227195865156,0.251768152502359,Hybrid-MP
15,1160304,0.5,20,4,0.60179054025704,12.8480714805674,0.780475369936272,0.871519285194326,1286.44596907933,143.88319422449,0.778928199446188,0.641885400478978,0,145,1826,1681,0,0,1681,145,,,0.409844288070221,0.357187200979937,Hybrid-MP
16,1159673,0.4,5,4,0.588406658579964,-2.67072040245981,0.725716433010057,0.973292795975402,inf,25.8467456999946,0.767413083802787,0.656361578244504,924,0,902,1826,0,924,902,0,0,100,0.1981957863496,0.203489041652454,Hybrid-UI
17,1160530,0.5,5,2,-0.339668047000482,-205.52816832606,0.052225425343341,-1.0552816832606,,25.0224006795246,0.251097377181087,-1.1958559983614,1158,642,668,1184,465,693,491,177,40.1554404145078,59.8445595854922,0.004288798524918,0.013103487576376,Hybrid-UI
18,1159305,0.4,20,2,0.141123232366161,19.6270559545484,0.013474257700352,0.803729440454516,,1.01006268341447,0.380735215520543,0.135501485060854,725,1097,1101,729,468,257,472,629,64.551724137931,35.448275862069,0.002550641480481,0.002050025649907,Hybrid-UI
19,1160523,0.1,5,16,0.055462861260203,-59.0634074691115,0.011831935088644,0.409365925308885,,0.663191477829857,0.247674596262719,-0.174537604707342,1809,1102,17,724,1092,717,7,10,60.3648424543947,39.6351575456053,0.000494361954787,0.000786348970515,Hybrid-UI
